day,num_tx,total_btc,btc_whale_tx_count,avg_btc,btc_tx_growth
2020-01-24 00:00:00+00:00,313887,692891.83838984,1182,2.207456308766658,-0.048590861971762656
2020-01-25 00:00:00+00:00,285584,488493.74869776005,767,1.7105081121412966,-0.09016939216979358
2020-01-26 00:00:00+00:00,261247,577633.44820103,744,2.2110625124921244,-0.08521835957196477
2020-01-27 00:00:00+00:00,279240,1509052.8967610202,1205,5.404143019485103,0.06887351816480192
2020-01-28 00:00:00+00:00,340052,1050430.1551277603,1419,3.089028016679097,0.21777682280475585
2020-01-29 00:00:00+00:00,340562,893706.05062151,1373,2.624209543699855,0.0014997706233164099
2020-01-30 00:00:00+00:00,332558,1455372.46303868,1496,4.376296655135886,-0.023502328504060976
2020-01-31 00:00:00+00:00,334434,1204276.68489227,1509,3.6009397516169708,0.005641121248022962
2020-02-01 00:00:00+00:00,303724,818309.3320659001,1189,2.694253111594408,-0.0918267879462017
2020-02-02 00:00:00+00:00,290879,691971.37159644,1062,2.378897657089168,-0.04229168587270027
2020-02-03 00:00:00+00:00,331012,1599642.0140794304,1387,4.83258013026546,0.1379714589227823
2020-02-04 00:00:00+00:00,309190,897290.32818751,1109,2.9020677518273876,-0.0659251024132056
2020-02-05 00:00:00+00:00,368604,848648.94363695,1434,2.3023324316528035,0.19216016041915984
2020-02-06 00:00:00+00:00,315370,1569522.48661785,1724,4.976765344255478,-0.14442057058523505
2020-02-07 00:00:00+00:00,334938,1661226.2147454,1574,4.959802156654067,0.06204775343247615
2020-02-08 00:00:00+00:00,318363,784928.20570075,762,2.4655132842093774,-0.049486770685918
2020-02-09 00:00:00+00:00,317070,572106.14299995,778,1.8043528022201722,-0.004061401607598825
2020-02-10 00:00:00+00:00,298104,1046338.4781600902,1187,3.509977988084998,-0.059816444318289363
2020-02-11 00:00:00+00:00,365583,1020598.5105674601,1169,2.791701229453941,0.22636059898558902
2020-02-12 00:00:00+00:00,344615,1100253.78927994,1299,3.192704291107294,-0.05735496453609712
2020-02-13 00:00:00+00:00,340081,1069433.55939572,1397,3.1446436566456817,-0.013156711112400798
2020-02-14 00:00:00+00:00,326078,1047777.6850816701,1256,3.213273158819884,-0.041175484663947715
2020-02-15 00:00:00+00:00,322721,869551.12574655,1171,2.6944361406495085,-0.010295082771606845
2020-02-16 00:00:00+00:00,292236,963366.41905005,998,3.296535741832115,-0.09446239941001666
2020-02-17 00:00:00+00:00,341491,1301221.5971037198,1278,3.810412564617281,0.16854528531734636
2020-02-18 00:00:00+00:00,331050,1050298.61370028,1358,3.1726283452659114,-0.030574744283158317
2020-02-19 00:00:00+00:00,334805,1373439.6854243197,1640,4.10220780879712,0.01134269747772243
2020-02-20 00:00:00+00:00,316626,1043971.9266201799,1474,3.297176879410345,-0.05429727751975033
2020-02-21 00:00:00+00:00,338484,826541.73146475,1270,2.4418930627880493,0.06903412859335623
2020-02-22 00:00:00+00:00,304597,578355.56686757,839,1.8987566091181793,-0.10011403788657658
2020-02-23 00:00:00+00:00,285579,668882.61856174,1228,2.342198195811807,-0.0624365965521656
2020-02-24 00:00:00+00:00,328890,814213.52731419,1075,2.4756408748037035,0.15166031115733292
2020-02-25 00:00:00+00:00,334593,874557.44787684,949,2.613794813032072,0.017340144121134715
