Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
ARIMAX,ethereum_ohlcv_hourly_merged,return,1,,0.006572917816457309,0.00927250248297626,0.6423205372973219
Prophet,ethereum_ohlcv_hourly_merged,return,1,,0.006648048037358212,0.009454810984712615,0.649662434032362
RandomForest,ethereum_ohlcv_hourly_merged,return,6,,0.013869304827241746,0.01875711346059871,0.7887453295908577
XGBoost,ethereum_ohlcv_hourly_merged,return,6,,0.013980069701473464,0.019226520335761214,0.7950445117287674
ARIMAX,ethereum_ohlcv_hourly_merged,return,6,,0.008473548027208419,0.010768773671981846,0.4732337657850659
Prophet,ethereum_ohlcv_hourly_merged,return,6,,0.014091184917200749,0.018601193780556562,0.786969576537294
RandomForest,ethereum_ohlcv_hourly_merged,return,24,,0.030762294940721698,0.0393206886777885,0.7292074448014588
XGBoost,ethereum_ohlcv_hourly_merged,return,24,,0.028722798474015564,0.03689420526545523,0.6808620268138147
ARIMAX,ethereum_ohlcv_hourly_merged,return,24,,0.010077539488551676,0.01251542068133923,0.20450895912350492
Prophet,ethereum_ohlcv_hourly_merged,return,24,,0.027316451126967952,0.03541793122397429,0.5543475164022585
RandomForest,solana_ohlcv_daily_merged,return,1,,0.03982433364291055,0.05588339262268234,0.7395978358188549
XGBoost,solana_ohlcv_daily_merged,return,1,,0.04086493606500819,0.0576878868287782,0.7589233895426717
ARIMAX,solana_ohlcv_daily_merged,return,1,,0.036303544613826524,0.052749106950304825,0.5650267120730658
Prophet,solana_ohlcv_daily_merged,return,1,,0.03683645712087597,0.053715965127088566,0.5733209380194237
RandomForest,solana_ohlcv_daily_merged,return,3,,0.06293786324743024,0.08525495388687938,0.6644731106537679
XGBoost,solana_ohlcv_daily_merged,return,3,,0.06262836849457439,0.08551774216786748,0.6612055872497294
ARIMAX,solana_ohlcv_daily_merged,return,3,,0.05047439549785149,0.06666187137146778,0.4710177830064344
Prophet,solana_ohlcv_daily_merged,return,3,,0.08150787657529429,0.10543403561466892,0.7606165253369185
RandomForest,solana_ohlcv_daily_merged,return,7,,0.08179930750416219,0.10971545997077137,0.5542962624459378
XGBoost,solana_ohlcv_daily_merged,return,7,,0.07958615910219073,0.10702530485888771,0.539299315346006
ARIMAX,solana_ohlcv_daily_merged,return,7,,0.04827587890518074,0.06735215222122087,0.2819803176551329
Prophet,solana_ohlcv_daily_merged,return,7,,0.12904122439115864,0.16883438802939743,0.753732221341729
RandomForest,solana_ohlcv_hourly_merged,return,1,,0.0049608532258252425,0.007248475769935572,0.7020696367342474
XGBoost,solana_ohlcv_hourly_merged,return,1,,0.005087270427546944,0.0073748487821874925,0.7199604460062654
ARIMAX,solana_ohlcv_hourly_merged,return,1,,0.006642571281760441,0.009340113804122533,0.6721788621011886
Prophet,solana_ohlcv_hourly_merged,return,1,,0.006757521923034617,0.009543639138540594,0.68381101296145
RandomForest,solana_ohlcv_hourly_merged,return,6,,0.015130650726937988,0.02076946020507965,0.7883407683023101
XGBoost,solana_ohlcv_hourly_merged,return,6,,0.01620244523265508,0.02178996725622778,0.8441836609410854
ARIMAX,solana_ohlcv_hourly_merged,return,6,,0.007827726871479236,0.010072641374059754,0.38301347762665494
Prophet,solana_ohlcv_hourly_merged,return,6,,0.013704275759010256,0.017906433898228553,0.6705551181068834
RandomForest,solana_ohlcv_hourly_merged,return,24,,0.03131065755011259,0.039425678117070144,0.7261006944347523
XGBoost,solana_ohlcv_hourly_merged,return,24,,0.031445669799295715,0.03958846451604062,0.729231656719149
ARIMAX,solana_ohlcv_hourly_merged,return,24,,0.009423634254502633,0.011903351343404565,0.18256136555481534
Prophet,solana_ohlcv_hourly_merged,return,24,,0.028608228167522065,0.035367012592441516,0.5542190050373735
